studentId,subjectCode,date,status
23891A0501,CSE101PC,2024-05-01,present
23891A0501,CSE101PC,2024-05-02,present
23891A0501,CSE101PC,2024-05-03,present
23891A0501,CSE101PC,2024-05-06,present
23891A0501,CSE101PC,2024-05-07,absent
23891A0501,CSE101PC,2024-05-08,present
23891A0501,CSE101PC,2024-05-09,absent
23891A0501,CSE101PC,2024-05-10,absent
23891A0501,CSE101PC,2024-05-13,absent
23891A0501,CSE101PC,2024-05-14,absent
23891A0501,CSE101PC,2024-05-15,absent
23891A0501,CSE201PC,2024-05-01,absent
23891A0501,CSE201PC,2024-05-02,absent
23891A0501,CSE201PC,2024-05-03,present
23891A0501,CSE201PC,2024-05-06,present
23891A0501,CSE201PC,2024-05-07,present
23891A0501,CSE201PC,2024-05-08,present
23891A0501,CSE201PC,2024-05-09,absent
23891A0501,CSE201PC,2024-05-10,present
23891A0501,CSE201PC,2024-05-13,absent
23891A0501,CSE201PC,2024-05-14,absent
23891A0501,CSE201PC,2024-05-15,present
23891A0501,CSE301PC,2024-05-01,present
23891A0501,CSE301PC,2024-05-02,present
23891A0501,CSE301PC,2024-05-03,present
23891A0501,CSE301PC,2024-05-06,absent
23891A0501,CSE301PC,2024-05-07,present
23891A0501,CSE301PC,2024-05-08,absent
23891A0501,CSE301PC,2024-05-09,absent
23891A0501,CSE301PC,2024-05-10,present
23891A0501,CSE301PC,2024-05-13,present
23891A0501,CSE301PC,2024-05-14,absent
23891A0501,CSE301PC,2024-05-15,present
23891A0501,CSE401PC,2024-05-01,present
23891A0501,CSE401PC,2024-05-02,present
23891A0501,CSE401PC,2024-05-03,present
23891A0501,CSE401PC,2024-05-06,present
23891A0501,CSE401PC,2024-05-07,absent
23891A0501,CSE401PC,2024-05-08,absent
23891A0501,CSE401PC,2024-05-09,absent
23891A0501,CSE401PC,2024-05-10,present
23891A0501,CSE401PC,2024-05-13,absent
23891A0501,CSE401PC,2024-05-14,present
23891A0501,CSE401PC,2024-05-15,present
23891A0502,CSE101PC,2024-05-01,present
23891A0502,CSE101PC,2024-05-02,present
23891A0502,CSE101PC,2024-05-03,present
23891A0502,CSE101PC,2024-05-06,present
23891A0502,CSE101PC,2024-05-07,present
23891A0502,CSE101PC,2024-05-08,present
23891A0502,CSE101PC,2024-05-09,present
23891A0502,CSE101PC,2024-05-10,absent
23891A0502,CSE101PC,2024-05-13,present
23891A0502,CSE101PC,2024-05-14,present
23891A0502,CSE101PC,2024-05-15,present
23891A0502,CSE201PC,2024-05-01,present
23891A0502,CSE201PC,2024-05-02,absent
23891A0502,CSE201PC,2024-05-03,present
23891A0502,CSE201PC,2024-05-06,present
23891A0502,CSE201PC,2024-05-07,present
